"user_id","reward_segment","assigned_perk","discount_quote","avg_distance_km","avg_hotel_costs","avg_cleaned_nights","avg_flight_costs","avg_days_to_trip"
"125845","Bargain-Shopper","No cancellation fees","0.33333333333333333333","17616.23819554897","288.0000000000000000","2","548.9210000000000000","2.7777777777777778"
"174997","Bargain-Shopper","No cancellation fees","0.33333333333333333333","12860.324632719201","194.6666666666666667","1","196.8100000000000000","2.1428571428571429"
"204997","Bargain-Shopper","No cancellation fees","0.50000000000000000000","9040.226040517475","88.7500000000000000","5","122.1175000000000000","2.8000000000000000"
"206011","Bargain-Shopper","No cancellation fees","0.50000000000000000000","19614.730146602193","317.7500000000000000","2","256.1930000000000000","2.7500000000000000"
"220725","Bargain-Shopper","No cancellation fees","0.50000000000000000000","14727.834896493849","310.5000000000000000","4","383.3550000000000000","2.1428571428571429"
"224996","Bargain-Shopper","No cancellation fees","0.00000000000000000000","17763.763989158506","115.5000000000000000","0","448.8050000000000000","2.0000000000000000"
"229009","Bargain-Shopper","No cancellation fees","0.33333333333333333333","13278.063011730637","257.6666666666666667","1","353.8766666666666667","2.8333333333333333"
"252835","Bargain-Shopper","No cancellation fees","0.20000000000000000000","18889.614817206813","340.4000000000000000","2","323.1270000000000000","4.6250000000000000"
"324191","Bargain-Shopper","No cancellation fees","0.00000000000000000000","21868.21080663899","1266.0000000000000000","5","49.8700000000000000","2.3750000000000000"
"330893","Bargain-Shopper","No cancellation fees","0.00000000000000000000","18931.41614807748","328.6666666666666667","2","287.2033333333333333","2.0000000000000000"
"343928","Bargain-Shopper","No cancellation fees","0.50000000000000000000","18790.185157481013","232.0000000000000000","2","2264.3700000000000000","42.6250000000000000"
"357737","Bargain-Shopper","No cancellation fees","0.60000000000000000000","10916.952593218377","333.1000000000000000","4","391.9400000000000000","3.1666666666666667"
"359072","Bargain-Shopper","No cancellation fees","0.33333333333333333333","10729.636473388193","220.0000000000000000","3","44.3833333333333333","2.6666666666666667"
"361759","Bargain-Shopper","No cancellation fees","0.25000000000000000000","20058.76061294413","132.8875000000000000","1","415.1475000000000000","3.4444444444444444"
"363535","Bargain-Shopper","No cancellation fees","0.66666666666666666667","11832.11688851698","224.0000000000000000","4","229.4086666666666667","2.8333333333333333"
"373489","Bargain-Shopper","No cancellation fees","1.00000000000000000000","16656.338577528193","1326.0000000000000000","13","5588.4825000000000000","24.7777777777777778"
"374340","Bargain-Shopper","No cancellation fees","1.00000000000000000000","13510.861928558965","","","3966.1900000000000000","37.3333333333333333"
"380757","Bargain-Shopper","No cancellation fees","0.33333333333333333333","20404.20423182676","516.9000000000000000","5","165.2066666666666667","2.8750000000000000"
"388947","Bargain-Shopper","No cancellation fees","0.33333333333333333333","18415.593270234534","321.0000000000000000","1","398.7461666666666667","2.4444444444444444"
"389662","Bargain-Shopper","No cancellation fees","0.33333333333333333333","13966.804450899233","302.0000000000000000","1","210.3543333333333333","2.1250000000000000"
"396552","Bargain-Shopper","No cancellation fees","0.00000000000000000000","18040.67002641081","235.5000000000000000","1","206.2125000000000000","3.7500000000000000"
"399799","Bargain-Shopper","No cancellation fees","0.00000000000000000000","18777.241031412024","216.7500000000000000","2","340.3000000000000000","3.1250000000000000"
"400582","Bargain-Shopper","No cancellation fees","0.25000000000000000000","13620.500907481499","757.2500000000000000","2","156.5395000000000000","2.5000000000000000"
"402332","Bargain-Shopper","No cancellation fees","1.00000000000000000000","20622.606030607043","264.1000000000000000","1","383.7070000000000000","3.3750000000000000"
"407118","Bargain-Shopper","No cancellation fees","0.33333333333333333333","11357.452092262787","790.0000000000000000","16","151.3400000000000000","2.3333333333333333"
"407275","Bargain-Shopper","No cancellation fees","0.00000000000000000000","16790.74248350183","728.7500000000000000","4","186.7375000000000000","2.7500000000000000"
"411701","Bargain-Shopper","No cancellation fees","0.00000000000000000000","9433.936315810279","231.0000000000000000","1","289.1350000000000000","2.0000000000000000"
"413340","Bargain-Shopper","No cancellation fees","0.33333333333333333333","18140.31764527263","365.3333333333333333","2","177.3533333333333333","3.1250000000000000"
"413418","Bargain-Shopper","No cancellation fees","0.00000000000000000000","10832.918156717957","95.3333333333333333","2","193.5566666666666667","2.3750000000000000"
"415381","Bargain-Shopper","No cancellation fees","0.00000000000000000000","17753.44260207594","234.6666666666666667","1","150.4033333333333333","2.1250000000000000"
"416580","Bargain-Shopper","No cancellation fees","0.40000000000000000000","15256.740106596899","175.6200000000000000","2","245.0700000000000000","3.3333333333333333"
"418329","Bargain-Shopper","No cancellation fees","0.66666666666666666667","16478.11312584577","1001.5666666666666667","9","138.6623333333333333","2.5000000000000000"
"420669","Bargain-Shopper","No cancellation fees","0.50000000000000000000","4716.968157905139","420.0000000000000000","5","149.2875000000000000","2.2500000000000000"
"421247","Bargain-Shopper","No cancellation fees","0.50000000000000000000","18400.352154973458","491.3250000000000000","2","177.3975000000000000","3.3750000000000000"
"423042","Bargain-Shopper","No cancellation fees","0.50000000000000000000","8840.188690744691","299.6333333333333333","3","112.1833333333333333","2.5000000000000000"
"425953","Bargain-Shopper","No cancellation fees","0.25000000000000000000","17330.982058511912","369.9500000000000000","2","205.5813750000000000","4.0000000000000000"
"425966","Bargain-Shopper","No cancellation fees","0.00000000000000000000","17811.45549381112","330.5000000000000000","2","659.3350000000000000","2.0000000000000000"
"427426","Bargain-Shopper","No cancellation fees","0.00000000000000000000","21103.263727302023","83.3333333333333333","1","242.8833333333333333","4.7500000000000000"
"427506","Bargain-Shopper","No cancellation fees","0.66666666666666666667","10602.22893656216","215.1333333333333333","3","48.6483333333333333","2.5000000000000000"
"429375","Bargain-Shopper","No cancellation fees","0.33333333333333333333","11283.055556347224","251.0000000000000000","1","125.7433333333333333","2.3333333333333333"
"430722","Bargain-Shopper","No cancellation fees","0.66666666666666666667","11905.04385780221","442.8666666666666667","5","112.2880000000000000","2.0000000000000000"
"431602","Bargain-Shopper","No cancellation fees","0.66666666666666666667","12765.811936256257","324.0333333333333333","1","650.0360000000000000","2.0000000000000000"
"434238","Bargain-Shopper","No cancellation fees","0.50000000000000000000","17793.58865119396","22.0000000000000000","0","48.4600000000000000","2.1250000000000000"
"435882","Bargain-Shopper","No cancellation fees","0.33333333333333333333","11760.960789568484","437.3333333333333333","2","197.0766666666666667","2.7142857142857143"
"436894","Bargain-Shopper","No cancellation fees","0.00000000000000000000","17396.929445186615","528.5000000000000000","4","156.9050000000000000","2.0000000000000000"
"437251","Bargain-Shopper","No cancellation fees","0.00000000000000000000","18890.9698080912","174.0000000000000000","2","362.3733333333333333","2.7500000000000000"
"438839","Bargain-Shopper","No cancellation fees","0.33333333333333333333","17085.379172508012","1140.0000000000000000","7","192.1913333333333333","2.2500000000000000"
"439120","Bargain-Shopper","No cancellation fees","0.50000000000000000000","18958.826959360893","41.8500000000000000","0","398.9550000000000000","2.1250000000000000"
"439363","Bargain-Shopper","No cancellation fees","0.00000000000000000000","14343.77711806446","551.0000000000000000","4","154.0750000000000000","2.8750000000000000"
"442484","Bargain-Shopper","No cancellation fees","0.33333333333333333333","19411.322405246683","28.3333333333333333","0","252.4723333333333333","2.8750000000000000"
"443598","Bargain-Shopper","No cancellation fees","1.00000000000000000000","21343.55958548522","809.8250000000000000","5","1128.7270000000000000","2.8750000000000000"
"444387","Bargain-Shopper","No cancellation fees","0.00000000000000000000","18357.533498755227","56.0000000000000000","0","466.0000000000000000","47.5000000000000000"
"446473","Bargain-Shopper","No cancellation fees","0.66666666666666666667","19421.27504571278","196.7333333333333333","1","458.6300000000000000","2.1250000000000000"
"446933","Bargain-Shopper","No cancellation fees","0.25000000000000000000","17652.074842624374","188.0000000000000000","1","253.4453750000000000","2.5000000000000000"
"447737","Bargain-Shopper","No cancellation fees","0.33333333333333333333","20154.940974947836","110.5333333333333333","1","695.6833333333333333","2.7500000000000000"
"450615","Bargain-Shopper","No cancellation fees","0.25000000000000000000","18589.01594771324","170.5000000000000000","4","301.5137500000000000","4.1250000000000000"
"451291","Bargain-Shopper","No cancellation fees","0.50000000000000000000","16635.787803317406","91.0000000000000000","0","830.5567500000000000","30.6666666666666667"
"452034","Bargain-Shopper","No cancellation fees","0.66666666666666666667","6190.665968090875","628.0000000000000000","5","87.4700000000000000","2.2500000000000000"
"452532","Bargain-Shopper","No cancellation fees","0.66666666666666666667","14381.12985219752","","6","213.7225000000000000","2.5000000000000000"
"453168","Bargain-Shopper","No cancellation fees","0.25000000000000000000","18253.675795784467","206.7500000000000000","2","331.6105000000000000","2.4444444444444444"
"454934","Bargain-Shopper","No cancellation fees","0.33333333333333333333","14668.934926067013","300.3333333333333333","3","254.7333333333333333","2.5000000000000000"
